algorithm,date,day,exam,overflow_students,priority,room,room capacity,room_id,slot_id,status,student ids,students in room,time,total students
greedy,2025-05-31,Saturday,ECE315,90,normal,52,33,52,0,scheduled,211001131+231000075+231000157+231000163+231000258+231000314+231000352+231000360+231000474+231000508+231000560+231000576+231000583+231000591+231000600+231000626+231000722+231000730+231000758+231000789+231000814+231000817+231000845+231000870+231000979+231000991+231001069+231001070+231001109+231001125+231001233+231001298+231001428,33,08:00-10:00,123
greedy,2025-05-31,Saturday,BSAD420,0,normal,53,33,53,0,scheduled,19106361+202000195+202000870+202002486+221000029+221000497+221000522+221000675+221000724+221000924+221001537+221001670+221001978+221002109+222000013+231000149+231000811+231001764+231001918+231001975+231001991,21,08:00-10:00,21
greedy,2025-05-31,Saturday,HUMA001/101 (Computer Lab),12,normal,7,33,7,0,scheduled,202001860+212002399+222000017+231000369+231001373+231001397+231001591+231001624+231002728+241000037+241000131+241000282+241000349+241000439+241000739+241000932+241001072+241001075+241001105+241001199+241001346+241001476+241001713+241001958+241002310+241002481+241002687+241002692+211001466+211001937+211001949+212002332+221000096,33,08:00-10:00,45
greedy,2025-05-31,Saturday,MEC111,109,normal,8,33,8,0,scheduled,211000560+221001710+221001763+221002041+222000018+222000131+231001377+231001386+231001964+231001966+241000012+241000079+241000107+241000346+241000393+241000559+241000799+241000815+241000833+241000849+241001320+241002152+241002635+251000041+251000043+251000079+251000093+251000116+251000133+251000160+251000174+251000218+251000228,33,08:00-10:00,142
greedy,2025-05-31,Saturday,IND325,9,normal,9,33,9,0,scheduled,231000009+231000409+231001495+231001606+231001845+231002052+231002109+232000005+241000053+241000132+241000164+241000247+241000258+241000265+241000722+241001243+241001526+241001679+241001826+241001993+241002615+1610387+19100320+19100478+202000084+202000548+202002652+211000122+211001020+211001963+221000016+221000037+221000224,33,08:00-10:00,42
greedy,2025-05-31,Saturday,SSCI102,111,normal,1,33,1,1,scheduled,18102520+19100361+19200031+202000665+202001162+211000449+211001998+211002067+221000056+221000089+221000268+221000447+221000682+221000762+221000837+221000895+221000960+221001001+221001124+221001153+221001496+221001540+221001700+221001801+221001896+221001938+221002144+222000058+222000062+231000016+231000057+231000076+231000133,33,10:00-12:00,144
greedy,2025-05-31,Saturday,MNG271,21,normal,104,65,104,1,scheduled,241001103+241001125+241001172+241001174+241001212+241001263+241001286+241001324+241001430+241001452+241001509+241001519+241001575+241001635+241001647+241001757+241001760+241001833+241001838+241001884+241001934+241001949+241001973+241001990+241001991+241001997+241002016+241002037+241002070+241002084+241002356+241002370+241002397+241002627+251001762+202001189+222000131+231000286+241000235+241000335+241000409+241000466+241000615+241000793+241000945+241001059+241001098+241001135+241001171+241001187+241001246+241001265+241001288+241001381+241001461+241001502+241001576+241001644+241001687+241001702+241001773+241001950+241001985+241002039+1711001,65,10:00-12:00,86
greedy,2025-05-31,Saturday,CSCE101B,0,normal,106,64,106,1,scheduled,202000441+211001101+221000691+231000159+231000617+231002108+231002518+241001623+241002454+241002543+251000068+251000097+251000135+251000238+251000265+251000338+251000353+251000402+251000432+251000438+251000484+251000634+251000776+251000791+251000908+251001113+251001752+251001810+251001953+251002112+251002276+251002383+251002397+251002464+251002609+251002623+251002631+251002681+251002751+251002817+251002824+251002986+252000010+252000012+252000025,45,10:00-12:00,45
greedy,2025-05-31,Saturday,IND212,0,normal,110,62,110,1,scheduled,202000080+211001020+221000016+221000476+221001671+221002056+231000009+231001386+231001962+231002532+241000053+241000258+241000265+241000722+241000824+241000881+241000980+241001136+241001540+241001679+241001993+251002735,22,10:00-12:00,22
greedy,2025-05-31,Saturday,CVL441,0,normal,111,66,111,1,scheduled,19100615+202002167+202003118+211000235+212002435+231000002+231000355+231000476+231000667+231000796+231001062,11,10:00-12:00,11
greedy,2025-05-31,Saturday,MATH303,0,normal,114,63,114,1,scheduled,221001244+221001465+221002092+231000012+231000065+231000273+231000625+231000634+231000678+231000685+231000899+231000936+231001015+231001039+231001081+231001089+231001118+231001170+231001194+231001223+231001229+231001259+231001280+231001311+231001343+231001352+231001526+231001599+231001620+231001650+231001654+231001706+231001708+231001747+231001796+231001822+231001934+231002009+231002054+231002150+231002243,41,10:00-12:00,41
greedy,2025-05-31,Saturday,FINC302,0,normal,116,66,116,1,scheduled,231001121+231001543+231001680+231001716+231001782+231001896+231001922+231001991+231002158+231002207+231002264+231002298+231002304+231002350+231002376+231002410+241001213+211000023+211000709+211001842+221000485+221000860+221001718+221001998+221002026+222000082+231000013+231000025+231000106+231000160+231000328+231000791+231000965+231001035+231001058,35,10:00-12:00,35
greedy,2025-05-31,Saturday,MATH121,136,high,129,68,129,1,scheduled,251000015+251000025+251000078+251000211+251000378+251000448+251000604+251000671+251000755+251000797+251000884+251001117+251001279+251001350+251001505+251001541+251001634+251001671+251001753+251001886+251001918+251001936+251001993+251001997+251002016+251002048+251002066+251002148+251002185+251002273+251002292+251002305+251002316+251002317+251002349+251002371+251002423+251002438+251002462+251002474+251002501+251002509+251002588+251002608+251002675+251002720+251002775+251002795+251002847+251002920+251002937+251003004+251000018+251000038+251000072+251000077+251000106+251000232+251000344+251000345+251000391+251000452+251000494+251000526+251000749+251000790+251000798+251000828,68,10:00-12:00,204
greedy,2025-05-31,Saturday,ARUD356/CVL317,0,normal,132,65,132,1,scheduled,221002199+231000011+231000030+231000110+231000223+231000312+231000337+231000340+231000365+231000516+231000530+231000883+231001289+231001576+231002016+231002328+231002370+231002387+202000161+202000709+211000045+211001617+221000061+221000096+221000145+221000192+221000203+221000240+221000396+221001206+221001252+221001276+221001298+221001566+221001596+221001729+221001800,37,10:00-12:00,37
greedy,2025-05-31,Saturday,CVL321,0,normal,134,66,134,1,scheduled,211000560+231001377+231002091+241000176+241000397+241000649+241000735+241000737+241001591+241002252,10,10:00-12:00,10
greedy,2025-05-31,Saturday,MATH111I,0,normal,138,64,138,1,scheduled,221001063+231001085+241000021+241001349+241001659+241001921+241002560,7,10:00-12:00,7
greedy,2025-05-31,Saturday,CVL213,0,normal,139,66,139,1,scheduled,241000662+241000801+241000819+241000889+241001134+241001273+241001278+241001947+241002157+241002175+241002210+241002281+241002622+221000084+231000139+231000645+241000044+241000064+241000073+241000194+241000272+241000317+241000376+241000586+241000602+241000636+241000641,27,10:00-12:00,27
greedy,2025-05-31,Saturday,FINC307,0,normal,142,66,142,1,scheduled,211001883+221000018+221000131+221000312+221000649+221000679+221000743+221000823+221001014+221001031+221001092+221001258+221001333+221001473+221001538+221001722+221001940+221002022+222000012,19,10:00-12:00,19
greedy,2025-05-31,Saturday,IENG315,0,normal,264,35,264,1,scheduled,202000580+202001887+202002999+211001131+211002233+221000074+221000745+221002263,8,10:00-12:00,8
greedy,2025-05-31,Saturday,MNG484,0,normal,265,35,265,1,scheduled,211001830+221001686+221002233+231000269+231001910,5,10:00-12:00,5
greedy,2025-05-31,Saturday,IND331,0,normal,306,68,306,1,scheduled,231000409+231001495+231001606+231001845+231002052+232000005,6,10:00-12:00,6
greedy,2025-05-31,Saturday,MATH122,47,normal,307,65,307,1,scheduled,251001391+251001397+251001452+251001481+251001567+251001625+251001651+251001930+251001940+251001947+251001981+251002144+251002309+251002417+251002432+251002530+251002627+251002738+251002977+251000118+251000169+251000299+251000145+251000294+251000387+251000433+251000496+251000503+251000513+251000887+251000956+251001325+251001465+251001493+251001544+251001775+251001916+251001948+251002227+251002304+251002491+251002547+251002763+251000057+251000060+251000138+251000139+251000177+251000289+251000341+251000473+251000492+251000520+251000531+251000595+251000600+251000665+251000769+251001011+251001039+251001061+251001110+251001156+251001179+251001201,65,10:00-12:00,112
greedy,2025-05-31,Saturday,MNG336,0,normal,316,50,316,1,scheduled,221001640+231000031+231000083+231000097+231000138+231000326+231000327+231000473+231000531+231000710+231000724+231000799+231000884+231000949+231000971+231000987+231001011+231001076+231001078+231001145+231001201+231001205+231001357+231001566+231001569+231001589+231001667+231001672+231001732+231001757+231001801+231001816+231001865+231001881+231001903+231001913+231001990+231001997+231002076+231002095+231002196+231002232+231002257+231002357,44,10:00-12:00,44
greedy,2025-05-31,Saturday,ECON308,0,normal,333,66,333,1,scheduled,221000924,1,10:00-12:00,1
greedy,2025-05-31,Saturday,CBIO204,52,normal,52,33,52,1,scheduled,221001727+221001749+221001861+221001880+221001910+221002131+231000843+231001347+231001933+241000023+241000394+241000425+241000534+241000853+241000888+241000988+241001070+241001107+241001145+241001200+241001251+19100338+211000907+211001615+211002031+211002032+222000063+231000068+231000288+231001897+231002245+231002256+241000075,33,10:00-12:00,85
greedy,2025-05-31,Saturday,AIS323,45,normal,53,33,53,1,scheduled,211000590+211002132+221000166+221000267+221000289+221000348+231000010+231000033+231000095+231000107+231000114+231000119+231000222+231000281+231000491+231000573+231000729+231000764+231000765+231000774+231000834+231000941+231000993+231001984+211000075+211001466+211002194+212002407+221000019+221000728+221001133+221001265+222000008,33,10:00-12:00,78
greedy,2025-05-31,Saturday,MTH113,385,high,7,33,7,1,scheduled,251000304+251000313+251000324+251000328+251000393+251000429+251000534+251000663+251000754+251000816+251000836+251000855+251000858+251000871+251000892+251000936+251001111+251001297+251001329+251001349+251001390+251001396+251001436+251000382+251000390+251000415+251000541+251000629+251000946+251000964+251001246+251001247+251001333,33,10:00-12:00,418
greedy,2025-05-31,Saturday,ECE338,131,high,8,33,8,1,scheduled,19105801+202000444+202001153+202001328+211000107+211000194+211000312+211000706+211000964+211001073+211001192+211001743+221000379+221000556+221001408+221002221+231000259+231000270+231000352+231000360+231000474+231000560+231000576+231000577+231000583+231000600+231000722+231000730+231000758+231000814+231000845+231000991+231001032,33,10:00-12:00,164
greedy,2025-05-31,Saturday,MATH201,98,normal,9,33,9,1,scheduled,19105218+202000623+202001377+202001888+202001918+211000749+211001087+221000968+221001058+221001410+221001682+221001865+221001974+231000041+231000291+231000582+231000866+231000875+231001124+231001217+231001263+231001550+231001661+231001961+241000078+241000282+241000339+241000340+241000349+241000428+241000482+241000507+241000658,33,10:00-12:00,131
greedy,2025-05-31,Saturday,HUMA102,144,high,1,33,1,2,scheduled,222000058+222000071+231000029+231000713+231001117+231001462+231001502+231001525+231001577+231002350+241000093+241000221+241000299+241000436+241001087+241001471+241001567+241001674+241001682+241001777+241002154+221000979+221000993+221001131+221001699+231000615+231000943+231001098+231001242+231001737+241000078+241000192+241000336,33,12:00-14:00,177
greedy,2025-05-31,Saturday,ECE355,22,normal,104,65,104,2,scheduled,202002627+231000157+231000163+231000164+231000210+231000267+231000314+231000360+231000457+231000474+231000477+231000508+231000576+231000758+231000789+231000817+231000870+231000976+231000979+231000991+231001097+231001184+231001298+231001301+231001406+231001428+231001509+231001547+231001618+231001619+231001628+231001629+231001696+231001721+231001722+231001769+231001823+231001899+231001920+231001971+231001999+231002011+231002032+231002087+231002225+231002271+231002313+231002493+231002528+211001471+231000049+231000118+231000153+231000168+231000196+231000212+231000214+231000250+231000259+231000270+231000443+231000483+231000560+231000591+231000600,65,12:00-14:00,87
greedy,2025-05-31,Saturday,BMD212,0,normal,106,64,106,2,scheduled,211001802+221000705+221001063+221001244+221001397+221001720+231000625+231001796+241000282+241000349+241000680+241001101+241001179+241001310+241001587+241001616+241001676+241001713+241001874+241001958+241002078+241002100+241002286+241002310+241002311+241002395,26,12:00-14:00,26
greedy,2025-05-31,Saturday,AIS302,16,normal,110,62,110,2,scheduled,231000045+231000063+231000095+231000107+231000114+231000119+231000137+231000200+231000222+231000241+231000272+231000276+231000278+231000281+231000313+231000334+231000343+231000363+231000380+231000410+231000470+231000489+231000491+231000567+231000573+231000614+231000620+231000650+231000654+231000729+231000764+231000765+231000774+231000793+231000834+231000847+231000848+231000861+231000897+231000915+231000939+231000941+231000957+231000993+231001119+231001137+231001282+231001296+231001306+231001331+231001373+231001397+231001404+231001438+231001686+231001984+231002142+241000268+202001369+211000590+221000019+221000166,62,12:00-14:00,78
greedy,2025-05-31,Saturday,MNG363,30,normal,111,66,111,2,scheduled,231000031+231000083+231000097+231000138+231000215+231000326+231000327+231000395+231000473+231000627+231000714+231000724+231000884+231000949+231000971+231000987+231001076+231001078+231001145+231001201+231001405+231001566+231001569+231001589+231001667+231001732+231001801+231001816+231001881+231001903+231001913+231001990+231001997+231002076+231002095+231002193+231002206+231002232+231002257+231002357+231002725+231002757+241002244+18101248+202002281+202002372+202002462+202002791+211000208+211001949+221000071+221000244+221000315+221000400+221000896+221000999+221001005+221002099+231000345+231000531+231000710+231000799+231001011+231001205+231001357+231001672,66,12:00-14:00,96
greedy,2025-05-31,Saturday,BMD303,0,normal,114,63,114,2,scheduled,19106175+202000096+202001377+202001870+221001128+231000012+231000065+231000116+231000273+231000634+231000649+231000678+231000685+231000818+231000899+231000936+231001015+231001039+231001081+231001089+231001118+231001170+231001194+231001229+231001259+231001280+231001311+231001343+231001352+231001526+231001599+231001620+231001650+231001654+231001661+231001706+231001708+231001747+231001822+231001934+231002009+231002054+231002150+231002243,44,12:00-14:00,44
greedy,2025-05-31,Saturday,IND242,0,normal,116,66,116,2,scheduled,202000080+211000122+211002057+221000156+221000476+221001671+221002056+231000509+231001386+231001962+231002052+231002086+241000053+241000164+241000258+241000722+241000799+241000824+241000881+241000980+241001136+241001540+241001679+241001993,24,12:00-14:00,24
greedy,2025-05-31,Saturday,BMD102,0,normal,129,68,129,2,scheduled,221001826+241002035+241002387+241002460+241002560+251000094+251000337+251001509+251001579+251001580+251001584+251001670+251001830+251001833+251001905+251001987+251002066+251002165+251002371+251002513+251002754+251002790+251002993,23,12:00-14:00,23
greedy,2025-05-31,Saturday,MATH112I,0,normal,132,65,132,2,scheduled,211001864+231000525+231001648+231001806+241000343+241000658+241001116+241001290+251001938,9,12:00-14:00,9
greedy,2025-05-31,Saturday,ARC111,6,normal,134,66,134,2,scheduled,251000726+251001028+251001043+251001099+251001146+251001228+251001581+251002388+251002451+251002478+251002551+251002613+251002698+251002994+251002999+202002142+241000302+251000020+231002722+241000326+241000393+241000849+241001928+251000105+251000175+251000279+251000287+251000295+251000314+251000372+251000427+251000510+251000563+251000588+251000616+251000623+251000024+251000056+251000079+251000101+251000174+251000196+251000223+251000228+251000241+251000261+251000285+251000286+251000343+251000382+251000383+251000394+251000415+251000434+251000522+251000528+251000629+251000779+251000934+251001008+251001090+251001095+251001119+251001658+251001674+251001685,66,12:00-14:00,72
greedy,2025-05-31,Saturday,INT111,0,normal,138,64,138,2,scheduled,251002668+252000001+252000002+252000003+252000004+252000005+252000006+252000007+252000009+252000026+252000030+252000033+252000050+252000062+221001710+231001819+231001966+241000430+241000559+251000041+251000207+251000208+251000229+251000435+251000877+251001767+251002507+251002524,28,12:00-14:00,28
greedy,2025-05-31,Saturday,CSCI112,0,normal,139,66,139,2,scheduled,221001633+221001931+231000962+231001085+231001447+241000451+241001532+241001691+241001804+241001921+241001977+241002230+241002524,13,12:00-14:00,13
greedy,2025-05-31,Saturday,CVL432,0,normal,142,66,142,2,scheduled,18101487+202001705+202002592+211000235+211001701+211001942+221001750+231000002+231000355+231000667+231000796+231002721+251001999,13,12:00-14:00,13
greedy,2025-05-31,Saturday,ARC353,0,normal,216A,35,216A,2,scheduled,1710883+221000240+231000011+231000030+231000110+231000139+231000223+231000312+231000337+231000340+231000365+231000516+231000883+231001576+231002016+231002328+231002370+231002387,18,12:00-14:00,18
greedy,2025-05-31,Saturday,CVL361,0,normal,216B,35,216B,2,scheduled,231000476+231001062,2,12:00-14:00,2
greedy,2025-05-31,Saturday,CBIO408,0,normal,264,35,264,2,scheduled,202000579+202001617+202001659+221001666,4,12:00-14:00,4
greedy,2025-05-31,Saturday,MGMT201,22,normal,265,35,265,2,scheduled,202002806+211000318+221000341+241000229+241000718+241002044+241002095+241002439+241002454+251000180+251000220+251000260+251000338+251000353+251000515+251000527+251000670+251000776+251000785+251000869+251000893+251001049+251001142+251001269+251001435+251001445+251001609+251001709+251001752+251001810+251001813+251001920+251001953+251002013+251002050,35,12:00-14:00,57
greedy,2025-05-31,Saturday,ECE462,0,normal,306,68,306,2,scheduled,211000589+221000275+221000533+221001579,4,12:00-14:00,4
greedy,2025-05-31,Saturday,IND356,0,normal,307,65,307,2,scheduled,211001020+221000209+221000246+231000409+231001495+231001606+231001845+232000005,8,12:00-14:00,8
greedy,2025-05-31,Saturday,MNG382,0,normal,316,50,316,2,scheduled,221000591+231000269+231001632+231001847+231001910,5,12:00-14:00,5
greedy,2025-05-31,Saturday,MENG442,0,normal,330A,69,330A,2,scheduled,211001830+221001686+221002233,3,12:00-14:00,3
greedy,2025-05-31,Saturday,ECON403,0,normal,330B,68,330B,2,scheduled,221000924,1,12:00-14:00,1
greedy,2025-05-31,Saturday,ARC251,0,normal,333,66,333,2,scheduled,221000084+221001596+231000530+241000044+241000064+241000073+241000194+241000272+241000317+241000376+241000602+241000641+241000662+241000801+241000819+241000883+241001134+241001273+241001278+241001947+241002157+241002175+241002210+241002281+241002327+241002528+241002593+241002622,28,12:00-14:00,28
greedy,2025-05-31,Saturday,BIO102,0,normal,347,65,347,2,scheduled,231002245+241000075+241001313+241001456+241001652+241001690+241002017+241002181+241002393+241002470+241002473+241002475+241002531+241002565+241002609+241002624+242000040+251000053+251000109+251000188+251000247+251000297+251000309+251000310+251000464+251000502+251000539+251000586+251000644+251000817+251000918+251000939+251000970+251001009+251001264+251001268+251001280+251001322+251001404+251001553+251001608+251001872+251002053+251002146+251002173+251002244+251002287+251002425+251002599+251002626+251002644+251002669+251002680+251002765+251002783+251002788+251002802+251002865+251002973+252000097,60,12:00-14:00,60
greedy,2025-05-31,Saturday,APBI410,108,normal,52,33,52,2,scheduled,202001715+211001615+211001806+211001886+211001945+211002031+221000052+221000064+221000392+221000545+221000583+221000704+221000836+221001066+221001165+221001233+221001278+221001396+221001439+221001485+221001516+221001597+221001703+221001719+221001728+221001731+221001764+221001830+221001867+221001888+221001902+221001907+221001934,33,12:00-14:00,141
greedy,2025-05-31,Saturday,MKTG302,28,normal,53,33,53,2,scheduled,1510203+18100648+19100469+19105751+19106181+19106361+211000573+211001097+211001387+212002324+221000029+221000126+221000173+221000381+221000783+221001292+221001712+222000084+231000001+231000017+231000037+231000043+231000103+231000149+231000159+231000178+231000185+231000208+231000323+231000401+231000403+231000419+231000449,33,12:00-14:00,61
greedy,2025-05-31,Saturday,MTH215,29,normal,7,33,7,2,scheduled,19100436+19104283+202000111+202002787+202002999+211000136+221000229+221000330+221002204+231000009+231000052+231000254+231000388+231000415+231000482+231000557+231002106+231002436+241000004+241000013+241000262+241000265+241000346+241000397+241000400+241000405+241000418+241000486+241000508+241000514+241000589+241000601+241000642,33,12:00-14:00,62
greedy,2025-05-31,Saturday,ECE314,31,normal,8,33,8,2,scheduled,19106013+221001150+231000075+231000112+231000258+231000352+231000577+231000730+231000814+231000845+231001049+231001069+231001070+231001125+231001533+231001564+231001645+231001669+231001776+231001867+231002120+231002375+1610387+1610630+18100523+18101410+19200031+202002018+202002652+211000230+211001073+211001081+221000083,33,12:00-14:00,64
greedy,2025-05-31,Saturday,HUMA111,184,high,9,33,9,2,scheduled,221000404+221002001+251000025+251000211+251000448+251000452+251000671+251000755+251000884+251000905+251000920+251001117+251001350+251001432+251001541+251001756+251001918+251001924+251001936+251001972+251001990+251002016+251002073+251002148+251002158+251002273+251002305+251002349+251002547+251002588+251002675+251002739+251002775,33,12:00-14:00,217
greedy,2025-05-31,Saturday,NSCI102,129,high,1,33,1,3,scheduled,231000719+231000723+231000875+231001114+231001398+231001525+231001594+231002063+231002323+231002361+231002473+241000227+241000351+241000659+241001108+241001905+251002043+251002789+202001918+211002082+221001625+221001723+221001776+231000798+231000913+231000968+231001025+231001046+231001098+231001369+231001588+231002108+231002237,33,14:00-16:00,162
greedy,2025-05-31,Saturday,CBIO409,44,normal,104,65,104,3,scheduled,202000579+202001715+211000170+211001764+211002101+221000064+221000692+221000704+221000720+221000789+221000830+221001041+221001233+221001273+221001429+221001439+221001474+221001478+221001485+221001503+221001516+221001568+221001673+221001764+221001787+221001797+221001803+221001833+221001841+221001881+221001886+221001907+221001908+221001928+221001934+221001941+221001972+221001984+221002011+221002054+221002058+221002062+221002131+221002134+221002201+222000063+222000072+231002053+202000925+221000014+221000052+221000198+221000256+221000294+221000392+221000484+221000583+221000689+221001002+221001165+221001189+221001224+221001361+221001427+221001431,65,14:00-16:00,109
greedy,2025-05-31,Saturday,CSC102/CSCI102,23,normal,106,64,106,3,scheduled,241000066+241001005+241001159+241001764+241001828+241002322+241002362+241002592+251000283+251000411+251000463+251000512+251000756+251000795+251000843+251001373+251001388+251001743+251001916+251001929+251001934+251001963+251000222+251000293+251000342+251000585+251000604+251000723+251000783+251000886+251001328+251001463+251001634+251001680+251001721+251001753+251001801+251001993+251002117+251002123+251002165+251002204+251002219+251002341+251002361+251002405+251002500+251002508+251002515+251002539+251002548+251002582+251002689+251002737+251002745+251002752+251002761+251002790+251002810+251002830+251002847+251002854+251002915+252000018,64,14:00-16:00,87
greedy,2025-05-31,Saturday,MNG333,0,normal,110,62,110,3,scheduled,231000971+231000987+231001011+231001076+231001078+231001145+231001201+231001205+231001357+231001405+231001566+231001569+231001589+231001632+231001667+231001672+231001732+231001757+231001801+231001816+231001865+231001903+231001910+231001913+231001990+231001997+231002076+231002095+231002193+231002196+231002203+231002206+231002232+231002257+231002311+231002357+231002513+231002725+231002757+211000819+221001640+221002204+231000031+231000083+231000097+231000138+231000215+231000269+231000327+231000345+231000473+231000531+231000627+231000710+231000714+231000724+231000799+231000884+231000949,59,14:00-16:00,59
